Weather_Condition,total,severidad_promedio
Fair,1697787,2.0660347852822527
Cloudy,524654,2.089327442466845
Mostly Cloudy,457519,2.0705588183222994
Partly Cloudy,311743,2.0737658904931306
Light Rain,164310,2.0953137362302963
Light Snow,78648,2.121109246261825
Fog,54955,2.0821581293785827
Rain,38659,2.08494787759642
Haze,34003,2.0387024674293444
Fair / Windy,25211,2.078497481258181
