product_category_name,year,month,total_sales
construcao_ferramentas_jardim,2017,2,869.97
tablets_impressao_imagem,2017,2,792.0
livros_interesse_geral,2017,2,772.7099999999999
eletrodomesticos,2017,2,740.9
alimentos,2017,2,715.6300000000001
fashion_roupa_masculina,2017,2,642.85
fashion_underwear_e_moda_praia,2017,2,494.96000000000004
fashion_roupa_feminina,2017,2,457.8
moveis_quarto,2017,2,450.0
casa_conforto,2017,2,414.65999999999997
construcao_ferramentas_seguranca,2017,2,379.0
construcao_ferramentas_construcao,2017,2,336.79
agro_industria_e_comercio,2017,2,224.84000000000003
audio,2017,2,163.8
livros_tecnicos,2017,2,159.0
fashion_calcados,2017,2,141.95
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,2,139.9
industria_comercio_e_negocios,2017,2,119.0
livros_importados,2017,2,99.0
cine_foto,2017,2,59.0
eletrodomesticos_2,2017,2,15.99
dvds_blu_ray,2017,2,14.9
informatica_acessorios,2017,3,31955.90999999998
cama_mesa_banho,2017,3,30313.619999999984
esporte_lazer,2017,3,29433.30999999998
ferramentas_jardim,2017,3,27824.5
moveis_decoracao,2017,3,27767.98999999997
relogios_presentes,2017,3,27290.380000000005
beleza_saude,2017,3,27022.939999999988
cool_stuff,2017,3,21488.309999999983
perfumaria,2017,3,20001.109999999982
utilidades_domesticas,2017,3,16339.039999999979
automotivo,2017,3,16076.70999999999
moveis_escritorio,2017,3,15498.069999999992
brinquedos,2017,3,12677.34999999999
eletroportateis,2017,3,11171.06
consoles_games,2017,3,10810.119999999999
pet_shop,2017,3,9307.959999999997
telefonia,2017,3,8582.659999999987
,2017,3,7656.35
malas_acessorios,2017,3,6123.710000000001
papelaria,2017,3,5902.620000000001
fashion_bolsas_e_acessorios,2017,3,5322.200000000001
moveis_sala,2017,3,4987.5199999999995
eletronicos,2017,3,4500.400000000001
climatizacao,2017,3,4163.710000000001
bebes,2017,3,3735.0700000000006
livros_interesse_geral,2017,3,3632.8599999999997
alimentos,2017,3,2880.95
telefonia_fixa,2017,3,2636.26
casa_conforto,2017,3,2412.3
dvds_blu_ray,2017,3,1888.6
market_place,2017,3,1808.5900000000001
instrumentos_musicais,2017,3,1748.0299999999997
fashion_calcados,2017,3,1575.7999999999997
audio,2017,3,1213.77
casa_construcao,2017,3,819.6600000000001
construcao_ferramentas_construcao,2017,3,773.4
fashion_roupa_masculina,2017,3,648.7
bebidas,2017,3,568.86
eletrodomesticos_2,2017,3,500.9
tablets_impressao_imagem,2017,3,495.0
fashion_underwear_e_moda_praia,2017,3,394.14
construcao_ferramentas_seguranca,2017,3,380.0
casa_conforto_2,2017,3,342.88
eletrodomesticos,2017,3,337.3
industria_comercio_e_negocios,2017,3,238.0
artes,2017,3,223.25
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,3,113.98
alimentos_bebidas,2017,3,110.8
agro_industria_e_comercio,2017,3,81.99000000000001
sinalizacao_e_seguranca,2017,3,75.0
livros_tecnicos,2017,3,75.0
fashion_esporte,2017,3,39.9
musica,2017,3,27.99
fashion_roupa_feminina,2017,3,19.9
cama_mesa_banho,2017,4,27483.73999999997
moveis_decoracao,2017,4,27287.319999999978
ferramentas_jardim,2017,4,26877.90999999999
esporte_lazer,2017,4,26629.359999999982
relogios_presentes,2017,4,24026.969999999994
beleza_saude,2017,4,24001.559999999976
eletroportateis,2017,4,23253.98
informatica_acessorios,2017,4,22216.129999999983
cool_stuff,2017,4,22131.86999999998
perfumaria,2017,4,20611.70999999998
automotivo,2017,4,18581.699999999997
utilidades_domesticas,2017,4,17677.96999999998
brinquedos,2017,4,13967.509999999991
moveis_escritorio,2017,4,11038.149999999998
,2017,4,9381.119999999999
telefonia_fixa,2017,4,7983.330000000001
telefonia,2017,4,7680.769999999994
malas_acessorios,2017,4,7399.999999999999
pet_shop,2017,4,6916.590000000002
eletronicos,2017,4,5582.139999999999
papelaria,2017,4,4606.340000000001
bebes,2017,4,4225.35
market_place,2017,4,4090.18
consoles_games,2017,4,3845.0700000000006
instrumentos_musicais,2017,4,3818.4300000000003
fashion_bolsas_e_acessorios,2017,4,3396.5900000000006
casa_conforto,2017,4,2995.000000000001
climatizacao,2017,4,2781.0299999999997
moveis_sala,2017,4,2177.31
fashion_calcados,2017,4,1706.1999999999998
casa_construcao,2017,4,1602.69
construcao_ferramentas_jardim,2017,4,1550.1100000000001
dvds_blu_ray,2017,4,1434.9
tablets_impressao_imagem,2017,4,1310.88
audio,2017,4,1122.0
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,4,1105.3999999999999
moveis_quarto,2017,4,973.95
livros_interesse_geral,2017,4,923.3799999999999
eletrodomesticos_2,2017,4,799.8
construcao_ferramentas_ferramentas,2017,4,729.0
eletrodomesticos,2017,4,532.3
alimentos,2017,4,491.3
fashion_roupa_masculina,2017,4,441.59000000000003
bebidas,2017,4,424.78000000000003
pc_gamer,2017,4,259.98
fashion_esporte,2017,4,254.76999999999998
sinalizacao_e_seguranca,2017,4,128.06
artes,2017,4,119.9
cine_foto,2017,4,118.0
moveis_colchao_e_estofado,2017,4,109.4
fashion_underwear_e_moda_praia,2017,4,98.79
livros_tecnicos,2017,4,75.0
artigos_de_natal,2017,4,69.0
fashion_roupa_feminina,2017,4,64.9
alimentos_bebidas,2017,4,64.9
musica,2017,4,59.8
la_cuisine,2017,4,48.0
livros_importados,2017,4,39.98
casa_conforto_2,2017,4,12.9
informatica_acessorios,2017,5,60048.98000000008
beleza_saude,2017,5,49627.16000000005
esporte_lazer,2017,5,40637.410000000076
relogios_presentes,2017,5,40041.200000000004
cama_mesa_banho,2017,5,36187.93000000004
cool_stuff,2017,5,35253.98000000002
moveis_decoracao,2017,5,28289.359999999993
utilidades_domesticas,2017,5,27127.529999999948
brinquedos,2017,5,23123.539999999975
ferramentas_jardim,2017,5,22052.149999999983
automotivo,2017,5,21981.849999999995
perfumaria,2017,5,21518.61999999998
malas_acessorios,2017,5,13341.919999999995
moveis_escritorio,2017,5,12444.669999999995
,2017,5,11451.72
bebes,2017,5,10245.999999999993
instrumentos_musicais,2017,5,10134.329999999998
telefonia,2017,5,10001.419999999984
pet_shop,2017,5,8441.650000000001
fashion_bolsas_e_acessorios,2017,5,8154.459999999997
eletronicos,2017,5,6971.060000000001
artes,2017,5,6967.65
papelaria,2017,5,6276.680000000001
casa_conforto,2017,5,5575.470000000001
moveis_sala,2017,5,5375.21
eletroportateis,2017,5,5374.429999999999
moveis_quarto,2017,5,3936.9599999999996
eletrodomesticos_2,2017,5,3093.04
consoles_games,2017,5,2634.48
market_place,2017,5,2528.9800000000005
audio,2017,5,2081.1800000000003
livros_interesse_geral,2017,5,1976.57
eletrodomesticos,2017,5,1912.79
casa_construcao,2017,5,1835.0
construcao_ferramentas_jardim,2017,5,1691.04
fashion_calcados,2017,5,1669.5399999999997
tablets_impressao_imagem,2017,5,1613.98
agro_industria_e_comercio,2017,5,1579.94
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,5,1304.48
climatizacao,2017,5,1105.77
construcao_ferramentas_ferramentas,2017,5,803.9
fashion_roupa_masculina,2017,5,796.0999999999999
sinalizacao_e_seguranca,2017,5,722.85
moveis_colchao_e_estofado,2017,5,595.89
alimentos_bebidas,2017,5,574.99
industria_comercio_e_negocios,2017,5,519.8
telefonia_fixa,2017,5,462.33000000000004
fashion_roupa_feminina,2017,5,422.40000000000003
alimentos,2017,5,387.9
fashion_underwear_e_moda_praia,2017,5,289.40000000000003
livros_tecnicos,2017,5,262.0
la_cuisine,2017,5,193.0
pc_gamer,2017,5,129.99
fashion_esporte,2017,5,124.84
fashion_roupa_infanto_juvenil,2017,5,110.0
construcao_ferramentas_construcao,2017,5,99.99
bebidas,2017,5,90.0
dvds_blu_ray,2017,5,89.6
cine_foto,2017,5,59.0
artes_e_artesanato,2017,5,43.98
informatica_acessorios,2017,6,45190.990000000034
cool_stuff,2017,6,38533.04000000002
cama_mesa_banho,2017,6,38439.28000000003
esporte_lazer,2017,6,34563.50000000004
beleza_saude,2017,6,33993.18000000001
automotivo,2017,6,32718.4
relogios_presentes,2017,6,29336.420000000006
utilidades_domesticas,2017,6,27350.419999999947
perfumaria,2017,6,25606.90999999998
moveis_decoracao,2017,6,22267.599999999966
ferramentas_jardim,2017,6,16952.21999999999
brinquedos,2017,6,15877.149999999987
eletroportateis,2017,6,9698.809999999998
bebes,2017,6,9095.029999999995
moveis_escritorio,2017,6,8298.55
malas_acessorios,2017,6,8286.990000000002
fashion_bolsas_e_acessorios,2017,6,7233.830000000002
telefonia,2017,6,6996.849999999993
,2017,6,6428.89
consoles_games,2017,6,5523.820000000001
pet_shop,2017,6,5406.369999999999
instrumentos_musicais,2017,6,5401.85
casa_construcao,2017,6,4449.3
papelaria,2017,6,3562.470000000001
casa_conforto,2017,6,3146.09
climatizacao,2017,6,2701.2799999999997
eletrodomesticos,2017,6,2540.09
eletronicos,2017,6,2171.94
livros_interesse_geral,2017,6,2069.9800000000005
moveis_sala,2017,6,2025.2100000000003
audio,2017,6,1671.0
fashion_calcados,2017,6,1560.6399999999999
agro_industria_e_comercio,2017,6,1390.0
market_place,2017,6,1321.75
eletrodomesticos_2,2017,6,1213.87
musica,2017,6,1066.9
artes,2017,6,975.1999999999999
telefonia_fixa,2017,6,933.6700000000001
construcao_ferramentas_construcao,2017,6,690.63
fashion_roupa_masculina,2017,6,644.39
tablets_impressao_imagem,2017,6,594.0
construcao_ferramentas_jardim,2017,6,534.59
fashion_esporte,2017,6,495.49
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,6,374.8
moveis_quarto,2017,6,308.99
industria_comercio_e_negocios,2017,6,276.97
sinalizacao_e_seguranca,2017,6,273.9
artigos_de_natal,2017,6,214.6
fashion_roupa_feminina,2017,6,154.8
alimentos,2017,6,149.9
livros_importados,2017,6,148.5
livros_tecnicos,2017,6,145.9
pc_gamer,2017,6,129.99
dvds_blu_ray,2017,6,126.69
fashion_roupa_infanto_juvenil,2017,6,110.0
cine_foto,2017,6,79.0
portateis_casa_forno_e_cafe,2017,6,71.9
alimentos_bebidas,2017,6,57.4
bebidas,2017,6,49.99
casa_conforto_2,2017,6,12.9
fashion_underwear_e_moda_praia,2017,6,3.9
cama_mesa_banho,2017,7,74879.62000000014
informatica_acessorios,2017,7,50331.36000000005
esporte_lazer,2017,7,43835.85
cool_stuff,2017,7,38266.240000000034
relogios_presentes,2017,7,37978.94000000001
beleza_saude,2017,7,37295.43
moveis_decoracao,2017,7,31934.129999999972
utilidades_domesticas,2017,7,25210.249999999964
brinquedos,2017,7,24849.53999999997
ferramentas_jardim,2017,7,22614.479999999974
moveis_escritorio,2017,7,20252.52999999999
bebes,2017,7,16627.329999999987
automotivo,2017,7,15194.419999999998
perfumaria,2017,7,13648.189999999991
telefonia,2017,7,9243.279999999992
eletronicos,2017,7,8994.65
instrumentos_musicais,2017,7,8678.69
malas_acessorios,2017,7,8634.839999999998
pet_shop,2017,7,7661.35
papelaria,2017,7,7522.4400000000005
casa_conforto,2017,7,5886.010000000002
consoles_games,2017,7,5785.0599999999995
fashion_bolsas_e_acessorios,2017,7,5361.890000000001
eletroportateis,2017,7,5020.359999999999
moveis_sala,2017,7,4902.92
eletrodomesticos,2017,7,3671.990000000001
,2017,7,3518.860000000001
market_place,2017,7,1648.28
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,7,1508.4
fashion_calcados,2017,7,1458.9099999999999
climatizacao,2017,7,1396.1
livros_interesse_geral,2017,7,1327.3
moveis_quarto,2017,7,1206.99
agro_industria_e_comercio,2017,7,1180.0
eletrodomesticos_2,2017,7,1033.99
fashion_roupa_masculina,2017,7,850.99
audio,2017,7,771.6899999999999
dvds_blu_ray,2017,7,749.6999999999999
sinalizacao_e_seguranca,2017,7,664.1899999999999
construcao_ferramentas_construcao,2017,7,649.43
alimentos,2017,7,611.6600000000001
livros_tecnicos,2017,7,528.0
la_cuisine,2017,7,469.99
construcao_ferramentas_jardim,2017,7,446.93999999999994
artes,2017,7,386.75
construcao_ferramentas_iluminacao,2017,7,360.0
musica,2017,7,329.0
bebidas,2017,7,323.96000000000004
fashion_roupa_feminina,2017,7,310.70000000000005
fashion_underwear_e_moda_praia,2017,7,274.8
cds_dvds_musicais,2017,7,270.0
industria_comercio_e_negocios,2017,7,245.95999999999998
telefonia_fixa,2017,7,237.63
alimentos_bebidas,2017,7,198.1
tablets_impressao_imagem,2017,7,198.0
casa_construcao,2017,7,140.39999999999998
artes_e_artesanato,2017,7,129.9
moveis_colchao_e_estofado,2017,7,109.4
fashion_esporte,2017,7,69.9
artigos_de_festas,2017,7,69.9
artigos_de_natal,2017,7,65.09
casa_conforto_2,2017,7,12.9
cama_mesa_banho,2017,8,64776.99000000013
beleza_saude,2017,8,51694.410000000076
esporte_lazer,2017,8,46347.200000000084
automotivo,2017,8,44872.76000000004
moveis_decoracao,2017,8,44776.910000000025
informatica_acessorios,2017,8,44497.33000000003
cool_stuff,2017,8,43727.62000000003
relogios_presentes,2017,8,37408.54000000001
pcs,2017,8,33700.0
ferramentas_jardim,2017,8,27810.139999999985
utilidades_domesticas,2017,8,26828.28999999998
bebes,2017,8,21112.809999999987
brinquedos,2017,8,19420.29999999998
perfumaria,2017,8,14277.589999999993
moveis_escritorio,2017,8,12276.89
pet_shop,2017,8,11252.329999999998
telefonia,2017,8,11204.169999999991
consoles_games,2017,8,8912.849999999997
fashion_bolsas_e_acessorios,2017,8,7385.37
malas_acessorios,2017,8,7333.199999999999
instrumentos_musicais,2017,8,7329.55
papelaria,2017,8,6632.310000000001
,2017,8,5769.090000000003
climatizacao,2017,8,5759.13
eletrodomesticos,2017,8,4587.050000000001
eletroportateis,2017,8,4413.609999999999
casa_conforto,2017,8,4285.6900000000005
telefonia_fixa,2017,8,4103.4400000000005
eletrodomesticos_2,2017,8,4004.55
eletronicos,2017,8,3393.020000000002
livros_interesse_geral,2017,8,3214.8000000000006
moveis_sala,2017,8,2577.8700000000003
market_place,2017,8,1963.3899999999999
construcao_ferramentas_jardim,2017,8,1960.0900000000001
fashion_calcados,2017,8,1778.69
construcao_ferramentas_construcao,2017,8,1402.19
fashion_roupa_masculina,2017,8,1394.94
livros_tecnicos,2017,8,1196.38
fashion_underwear_e_moda_praia,2017,8,1111.0
audio,2017,8,1050.6999999999998
moveis_cozinha_area_de_servico_jantar_e_jardim,2017,8,1006.2
industria_comercio_e_negocios,2017,8,956.9
alimentos_bebidas,2017,8,634.77
moveis_quarto,2017,8,618.0
construcao_ferramentas_iluminacao,2017,8,589.0
tablets_impressao_imagem,2017,8,549.89
moveis_colchao_e_estofado,2017,8,509.39
alimentos,2017,8,427.99
sinalizacao_e_seguranca,2017,8,377.8
la_cuisine,2017,8,313.0
fashion_esporte,2017,8,265.8
artes,2017,8,244.70000000000002
agro_industria_e_comercio,2017,8,220.0
fashion_roupa_feminina,2017,8,188.7
cds_dvds_musicais,2017,8,180.0
casa_construcao,2017,8,124.8
bebidas,2017,8,119.9
dvds_blu_ray,2017,8,113.39999999999999
portateis_casa_forno_e_cafe,2017,8,109.06
casa_conforto_2,2017,8,64.5
livros_importados,2017,8,61.0
artigos_de_natal,2017,8,58.9
fashion_roupa_infanto_juvenil,2017,8,49.9
construcao_ferramentas_seguranca,2017,8,8.9
cama_mesa_banho,2017,9,61110.63000000012
telefonia_fixa,2017,9,60732.909999999996
esporte_lazer,2017,9,56614.67000000014
beleza_saude,2017,9,55099.120000000126
pcs,2017,9,53728.880000000005
relogios_presentes,2017,9,50468.270000000026
informatica_acessorios,2017,9,39823.740000000005
cool_stuff,2017,9,39672.93000000003
moveis_decoracao,2017,9,36561.710000000014
brinquedos,2017,9,33379.22
ferramentas_jardim,2017,9,27795.829999999973
bebes,2017,9,25238.919999999987
utilidades_domesticas,2017,9,21896.21999999998
telefonia,2017,9,20043.219999999976
automotivo,2017,9,19680.839999999993
moveis_escritorio,2017,9,16655.109999999993
perfumaria,2017,9,16203.519999999982
fashion_bolsas_e_acessorios,2017,9,14520.139999999994
instrumentos_musicais,2017,9,11620.27
eletroportateis,2017,9,11158.630000000001
pet_shop,2017,9,10691.149999999994
consoles_games,2017,9,9330.269999999999
,2017,9,7394.529999999999
papelaria,2017,9,6672.300000000001
casa_conforto,2017,9,6340.84
eletronicos,2017,9,4407.810000000001
malas_acessorios,2017,9,3910.3700000000017
agro_industria_e_comercio,2017,9,2391.99
casa_construcao,2017,9,2036.02
fashion_underwear_e_moda_praia,2017,9,2032.6
fashion_roupa_masculina,2017,9,1821.7
eletrodomesticos,2017,9,1820.19
eletrodomesticos_2,2017,9,1776.8
construcao_ferramentas_construcao,2017,9,1738.8000000000002
climatizacao,2017,9,1731.0500000000002
construcao_ferramentas_seguranca,2017,9,1553.2400000000002
moveis_sala,2017,9,1275.87
fashion_calcados,2017,9,1249.5
alimentos,2017,9,1224.17
market_place,2017,9,1147.21
audio,2017,9,1042.5900000000001
livros_tecnicos,2017,9,1001.35
livros_interesse_geral,2017,9,965.14
moveis_quarto,2017,9,944.5
construcao_ferramentas_ferramentas,2017,9,916.89
portateis_casa_forno_e_cafe,2017,9,640.99
